"#Chr	"	"Pos	"	"Alt Count	"	"Ref Count	"	"Read Depth	"	"Ratio	"
II	266	6	23	29	0.5
II	291	6	24	30	0.5
II	331	18	10	28	0.5
II	1554	1	6	7	0.5
II	4520	1	6	7	0.5
II	6368	3	5	8	0.5
II	6408	1	7	8	0.5
II	6418	5	5	10	0.5
II	12871	1	6	7	0.5
II	13003	1	8	9	0.5
II	13006	1	8	9	0.5
II	13329	1	8	9	0.5
II	13334	1	8	9	0.5
II	13423	1	8	9	0.5
II	14159	1	6	7	0.5
II	14452	1	7	8	0.5
II	15092	1	7	8	0.5
II	15397	1	6	7	0.5
II	15918	1	6	7	0.5
II	18401	1	6	7	0.5
II	20068	1	6	7	0.5
II	20291	5	4	9	0.5
II	20311	1	6	7	0.5
II	24825	1	8	9	0.5
II	24989	1	9	10	0.5
II	26751	1	6	7	0.5
II	27765	1	7	8	0.5
II	27842	1	7	8	0.5
II	28377	1	6	7	0.5
II	28386	1	6	7	0.5
II	29100	2	5	7	0.5
II	29252	1	6	7	0.5
II	29291	1	7	8	0.5
II	33364	1	6	7	0.5
II	33603	1	9	10	0.5
II	33738	1	6	7	0.5
II	36105	1	7	8	0.5
II	36531	1	8	9	0.5
II	37078	2	6	8	0.5
II	38273	1	7	8	0.5
II	38926	1	7	8	0.5
II	40907	2	10	12	0.5
II	41109	1	7	8	0.5
II	41141	3	6	9	0.5
II	41202	1	7	8	0.5
II	41461	1	6	7	0.5
II	42363	1	6	7	0.5
II	43469	1	7	8	0.5
II	48985	1	7	8	0.5
II	52960	1	7	8	0.5
II	53004	1	8	9	0.5
II	57172	1	7	8	0.5
II	60238	1	6	7	0.5
II	62726	1	7	8	0.5
II	62807	1	7	8	0.5
II	63305	1	7	8	0.5
II	64522	1	6	7	0.5
II	65371	1	7	8	0.5
II	65372	1	7	8	0.5
II	65725	4	4	8	0.5
II	67060	8	5	13	0.5
II	67359	1	8	9	0.5
II	67585	1	6	7	0.5
II	68513	2	11	13	0.5
II	69291	1	6	7	0.5
II	69297	1	6	7	0.5
II	71892	1	7	8	0.5
II	74109	1	6	7	0.5
II	74126	1	6	7	0.5
II	75979	1	9	10	0.5
II	77120	6	9	15	0.5
II	77293	2	12	14	0.5
II	77400	1	9	10	0.5
II	79024	1	6	7	0.5
II	79134	1	8	9	0.5
II	79150	1	8	9	0.5
II	79191	1	8	9	0.5
II	80341	1	7	8	0.5
II	81144	1	6	7	0.5
II	81663	1	6	7	0.5
II	83442	1	8	9	0.5
II	84092	1	7	8	0.5
II	84537	1	6	7	0.5
II	85380	1	7	8	0.5
II	85735	1	7	8	0.5
II	85855	1	6	7	0.5
II	85980	1	8	9	0.5
II	88082	1	10	11	0.5
II	88086	4	6	10	0.5
II	88099	1	9	10	0.5
II	88116	4	8	12	0.5
II	88189	4	7	11	0.5
II	88830	1	6	7	0.5
II	89206	1	10	11	0.5
II	89393	1	9	10	0.5
II	89396	1	8	9	0.5
II	90417	1	6	7	0.5
II	91662	1	6	7	0.5
II	92191	1	8	9	0.5
II	92226	4	7	11	0.5
II	92290	1	10	11	0.5
II	94811	1	6	7	0.5
II	95544	1	7	8	0.5
II	97244	1	10	11	0.5
II	99111	1	9	10	0.5
II	99837	1	6	7	0.5
II	99841	1	6	7	0.5
II	101820	1	7	8	0.5
II	102252	1	6	7	0.5
II	102255	2	5	7	0.5
II	102740	1	7	8	0.5
II	102762	1	8	9	0.5
II	104551	1	8	9	0.5
II	104827	1	9	10	0.5
II	105412	4	5	9	0.5
II	105519	3	4	7	0.5
II	105638	1	9	10	0.5
II	106005	6	3	9	0.5
II	106039	1	10	11	0.5
II	106960	1	6	7	0.5
II	107669	1	9	10	0.5
II	109546	1	10	11	0.5
II	112789	1	7	8	0.5
II	112835	1	7	8	0.5
II	119368	3	6	9	0.5
II	119399	1	7	8	0.5
II	119791	1	6	7	0.5
II	119794	1	6	7	0.5
II	120816	1	6	7	0.5
II	122279	3	10	13	0.5
II	122609	1	8	9	0.5
II	124081	1	7	8	0.5
II	125815	1	6	7	0.5
II	125845	1	6	7	0.5
II	126033	1	6	7	0.5
II	126610	1	6	7	0.5
II	126740	1	6	7	0.5
II	126929	1	6	7	0.5
II	127529	1	7	8	0.5
II	127923	1	7	8	0.5
II	128570	1	9	10	0.5
II	130202	1	8	9	0.5
II	130803	2	8	10	0.5
II	131082	4	7	11	0.5
II	131600	1	6	7	0.5
II	133304	1	8	9	0.5
II	133647	3	5	8	0.5
II	134202	2	8	10	0.5
II	135116	1	6	7	0.5
II	135289	1	7	8	0.5
II	137071	1	7	8	0.5
II	137127	1	6	7	0.5
II	137614	3	4	7	0.5
II	138041	1	8	9	0.5
II	139814	1	6	7	0.5
II	140703	2	11	13	0.5
II	140706	2	13	15	0.5
II	143320	5	4	9	0.5
II	143917	1	6	7	0.5
II	146459	4	14	18	0.5
II	146566	1	8	9	0.5
II	147358	2	7	9	0.5
II	147525	1	8	9	0.5
II	147879	7	12	19	0.5
II	147968	2	17	19	0.5
II	148256	1	7	8	0.5
II	148556	1	7	8	0.5
II	148634	1	6	7	0.5
II	149239	1	8	9	0.5
II	150004	1	8	9	0.5
II	150007	1	7	8	0.5
II	150021	1	6	7	0.5
II	151714	1	6	7	0.5
II	151821	1	7	8	0.5
II	152405	1	9	10	0.5
II	152424	1	7	8	0.5
II	152954	1	6	7	0.5
II	153542	2	5	7	0.5
II	153554	1	8	9	0.5
II	153556	1	8	9	0.5
II	154901	1	6	7	0.5
II	155907	1	6	7	0.5
II	156015	1	6	7	0.5
II	156167	1	8	9	0.5
II	156381	1	7	8	0.5
II	156604	1	6	7	0.5
II	156607	1	6	7	0.5
II	157358	3	5	8	0.5
II	157803	1	7	8	0.5
II	157806	1	7	8	0.5
II	159437	1	7	8	0.5
II	159477	1	8	9	0.5
II	159660	1	9	10	0.5
II	160846	1	6	7	0.5
II	162022	1	7	8	0.5
II	162386	1	7	8	0.5
II	162655	1	8	9	0.5
II	162657	1	8	9	0.5
II	163244	1	9	10	0.5
II	164112	2	7	9	0.5
II	165031	1	8	9	0.5
II	165277	1	8	9	0.5
II	165391	1	6	7	0.5
II	166275	1	7	8	0.5
II	166698	1	8	9	0.5
II	166784	1	9	10	0.5
II	166883	2	7	9	0.5
II	168296	1	7	8	0.5
II	168920	10	2	12	0.5
II	169639	1	6	7	0.5
II	170697	3	4	7	0.5
II	172651	1	6	7	0.5
II	172833	1	7	8	0.5
II	173492	1	9	10	0.5
II	173622	1	8	9	0.5
II	174134	4	3	7	0.5
II	174282	1	7	8	0.5
II	174510	1	6	7	0.5
II	174673	1	7	8	0.5
II	174968	1	7	8	0.5
II	175388	2	8	10	0.5
II	175414	1	7	8	0.5
II	175996	1	7	8	0.5
II	176160	1	8	9	0.5
II	176674	1	6	7	0.5
II	177052	1	7	8	0.5
II	177054	1	7	8	0.5
II	177160	1	9	10	0.5
II	179277	1	6	7	0.5
II	179562	1	6	7	0.5
II	180999	1	6	7	0.5
II	181235	1	6	7	0.5
II	181502	3	7	10	0.5
II	182474	1	6	7	0.5
II	183584	1	6	7	0.5
II	184414	1	6	7	0.5
II	184476	2	6	8	0.5
II	186435	1	6	7	0.5
II	186722	1	8	9	0.5
II	187831	4	9	13	0.5
II	188133	1	7	8	0.5
II	188463	1	7	8	0.5
II	188720	1	7	8	0.5
II	188736	1	7	8	0.5
II	189266	1	7	8	0.5
II	189470	1	8	9	0.5
II	189559	1	7	8	0.5
II	190037	13	7	20	0.5
II	190312	4	5	9	0.5
II	190739	6	3	9	0.5
II	190955	1	7	8	0.5
II	191213	1	7	8	0.5
II	191460	1	7	8	0.5
II	191462	1	7	8	0.5
II	191948	1	6	7	0.5
II	191970	1	6	7	0.5
II	192056	1	8	9	0.5
II	192285	10	6	16	0.5
II	193140	1	8	9	0.5
II	193971	1	7	8	0.5
II	194028	1	7	8	0.5
II	194669	1	6	7	0.5
II	195231	1	7	8	0.5
II	197875	1	6	7	0.5
II	198111	1	7	8	0.5
II	199115	1	6	7	0.5
II	199170	1	8	9	0.5
II	199192	1	8	9	0.5
II	200061	1	7	8	0.5
